competency_unit,competency_unit_id,competency_unit_en,competency_embedding_text
membuat justifikasi pembelian dan purchase request (pr) di sistem sap,membuat justifikasi pembelian dan purchase request (pr) di sistem sap,Create purchase justifications and purchase requests (PR) in the SAP system,membuat justifikasi pembelian dan purchase request (pr) di sistem sap Create purchase justifications and purchase requests (PR) in the SAP system
mencatat dan merekap aset di warehouse,mencatat dan merekap aset di warehouse,record and recapitulate assets in the warehouse,mencatat dan merekap aset di warehouse record and recapitulate assets in the warehouse
menyusun berita acara (ba) bila diperlukan,menyusun berita acara (ba) bila diperlukan,compile event news (ba) when needed,menyusun berita acara (ba) bila diperlukan compile event news (ba) when needed
design innovative programs for employee productivity analysis to produce accurate and comprehensive data.,merancang program inovatif analisis produktivitas karyawan untuk menghasilkan data yang akurat dan komprehensif.,design innovative programs for employee productivity analysis to produce accurate and comprehensive data.,merancang program inovatif analisis produktivitas karyawan untuk menghasilkan data yang akurat dan komprehensif. design innovative programs for employee productivity analysis to produce accurate and comprehensive data.
design frameworks and strategies for implementing end-to-end human capital projects that support overall human capital development.,merancang kerangka kerja dan strategi untuk melaksanakan proyek sumber daya manusia end-to-end yang mendukung pengembangan sumber daya manusia secara keseluruhan.,design frameworks and strategies for implementing end-to-end human capital projects that support overall human capital development.,merancang kerangka kerja dan strategi untuk melaksanakan proyek sumber daya manusia end-to-end yang mendukung pengembangan sumber daya manusia secara keseluruhan. design frameworks and strategies for implementing end-to-end human capital projects that support overall human capital development.
"strong analytical and strategic thinking skills, with the ability to integrate various hr functions into cohesive organizational development initiatives.","keterampilan berpikir analitis dan strategis yang kuat, dengan kemampuan untuk mengintegrasikan berbagai fungsi SDM ke dalam inisiatif pengembangan organisasi yang kohesif.","strong analytical and strategic thinking skills, with the ability to integrate various hr functions into cohesive organizational development initiatives.","keterampilan berpikir analitis dan strategis yang kuat, dengan kemampuan untuk mengintegrasikan berbagai fungsi SDM ke dalam inisiatif pengembangan organisasi yang kohesif. strong analytical and strategic thinking skills, with the ability to integrate various hr functions into cohesive organizational development initiatives."
menyambut dan melayani pengunjung dengan ramah.,menyambut dan melayani pengunjung dengan ramah.,welcome and serve visitors in a friendly manner.,menyambut dan melayani pengunjung dengan ramah. welcome and serve visitors in a friendly manner.
"menjaga keselamatan, kebersihan, dan kerapihan area bermain.","menjaga keselamatan, kebersihan, dan kerapihan area bermain.","maintain the safety, cleanliness and tidiness of the play area.","menjaga keselamatan, kebersihan, dan kerapihan area bermain. maintain the safety, cleanliness and tidiness of the play area."
mendukung acara serta melaksanakan tugas lain sesuai arahan atasan,mendukung acara serta melaksanakan tugas lain sesuai arahan atasan,Support events and carry out other tasks as directed by superiors,mendukung acara serta melaksanakan tugas lain sesuai arahan atasan Support events and carry out other tasks as directed by superiors
"ramah, komunikatif, energik, dan kreatif.","ramah, komunikatif, energik, dan kreatif.","friendly, communicative, energetic and creative.","ramah, komunikatif, energik, dan kreatif. friendly, communicative, energetic and creative."
sehat dan memiliki skck aktif.,sehat dan memiliki skck aktif.,healthy and have an active skck.,sehat dan memiliki skck aktif. healthy and have an active skck.
(maksimal hari kerja 6 hari/minggu.),(maksimal hari kerja 6 hari/minggu.),(maximum working days 6 days/week.),(maksimal hari kerja 6 hari/minggu.) (maximum working days 6 days/week.)
integration of user-facing elements developed by front-end developers,integrasi elemen yang menghadap pengguna yang dikembangkan oleh pengembang front-end,integration of user-facing elements developed by front-end developers,integrasi elemen yang menghadap pengguna yang dikembangkan oleh pengembang front-end integration of user-facing elements developed by front-end developers
"build efficient, testable, and reusable php modules","membangun modul php yang efisien, dapat diuji, dan dapat digunakan kembali","build efficient, testable, and reusable php modules","membangun modul php yang efisien, dapat diuji, dan dapat digunakan kembali build efficient, testable, and reusable php modules"
solve complex performance problems and architectural challenges,memecahkan masalah kinerja yang kompleks dan tantangan arsitektur,solve complex performance problems and architectural challenges,memecahkan masalah kinerja yang kompleks dan tantangan arsitektur solve complex performance problems and architectural challenges
"develop, test, and maintain php-based web applications.","mengembangkan, menguji, dan memelihara aplikasi web berbasis php.","develop, test, and maintain php-based web applications.","mengembangkan, menguji, dan memelihara aplikasi web berbasis php. develop, test, and maintain php-based web applications."
"write clean, well-structured, and maintainable php code.","tulis kode php yang bersih, terstruktur dengan baik, dan mudah dipelihara.","write clean, well-structured, and maintainable php code.","tulis kode php yang bersih, terstruktur dengan baik, dan mudah dipelihara. write clean, well-structured, and maintainable php code."
"work with mysql databases, optimizing queries and database structures.","bekerja dengan database mysql, mengoptimalkan kueri dan struktur database.","work with mysql databases, optimizing queries and database structures.","bekerja dengan database mysql, mengoptimalkan kueri dan struktur database. work with mysql databases, optimizing queries and database structures."
integrate third-party apis and payment gateways.,mengintegrasikan api pihak ketiga dan gateway pembayaran.,integrate third-party apis and payment gateways.,mengintegrasikan api pihak ketiga dan gateway pembayaran. integrate third-party apis and payment gateways.
collaborate with front-end developers to implement responsive and interactive web designs.,berkolaborasi dengan pengembang front-end untuk mengimplementasikan desain web yang responsif dan interaktif.,collaborate with front-end developers to implement responsive and interactive web designs.,berkolaborasi dengan pengembang front-end untuk mengimplementasikan desain web yang responsif dan interaktif. collaborate with front-end developers to implement responsive and interactive web designs.
"debug, troubleshoot, and resolve software issues.","men-debug, memecahkan masalah, dan menyelesaikan masalah perangkat lunak.","debug, troubleshoot, and resolve software issues.","men-debug, memecahkan masalah, dan menyelesaikan masalah perangkat lunak. debug, troubleshoot, and resolve software issues."
maintain documentation for all development work.,memelihara dokumentasi untuk semua pekerjaan pengembangan.,maintain documentation for all development work.,memelihara dokumentasi untuk semua pekerjaan pengembangan. maintain documentation for all development work.
keep up to date with latest web technologies and best practices.,tetap up to date dengan teknologi web terbaru dan praktik terbaik.,keep up to date with latest web technologies and best practices.,tetap up to date dengan teknologi web terbaru dan praktik terbaik. keep up to date with latest web technologies and best practices.
"strong knowledge of php web frameworks {{such as laravel, yii, etc depending on your technology stack}}","pengetahuan yang kuat tentang kerangka web php {{seperti laravel, yii, dll tergantung pada tumpukan teknologi Anda}}","strong knowledge of php web frameworks {{such as laravel, yii, etc depending on your technology stack}}","pengetahuan yang kuat tentang kerangka web php {{seperti laravel, yii, dll tergantung pada tumpukan teknologi Anda}} strong knowledge of php web frameworks {{such as laravel, yii, etc depending on your technology stack}}"
understanding the fully synchronous behavior of php,memahami perilaku php yang sepenuhnya sinkron,understanding the fully synchronous behavior of php,memahami perilaku php yang sepenuhnya sinkron understanding the fully synchronous behavior of php
understanding of mvc design patterns,pemahaman tentang pola desain mvc,understanding of mvc design patterns,pemahaman tentang pola desain mvc understanding of mvc design patterns
"basic understanding of front-end technologies, such as javascript, html5, and css3","pemahaman dasar tentang teknologi front-end, seperti javascript, html5, dan css3","basic understanding of front-end technologies, such as javascript, html5, and css3","pemahaman dasar tentang teknologi front-end, seperti javascript, html5, dan css3 basic understanding of front-end technologies, such as javascript, html5, and css3"
knowledge of object oriented php programming,pengetahuan tentang pemrograman php berorientasi objek,knowledge of object oriented php programming,pengetahuan tentang pemrograman php berorientasi objek knowledge of object oriented php programming
understanding accessibility and security compliance {{depending on the specific project}},memahami aksesibilitas dan kepatuhan keamanan {{tergantung pada proyek spesifik}},understanding accessibility and security compliance {{depending on the specific project}},memahami aksesibilitas dan kepatuhan keamanan {{tergantung pada proyek spesifik}} understanding accessibility and security compliance {{depending on the specific project}}
strong knowledge of the common php or web server exploits and their solutions,pengetahuan yang kuat tentang eksploitasi umum php atau server web dan solusinya,strong knowledge of the common php or web server exploits and their solutions,pengetahuan yang kuat tentang eksploitasi umum php atau server web dan solusinya strong knowledge of the common php or web server exploits and their solutions
understanding fundamental design principles behind a scalable application,memahami prinsip-prinsip desain dasar di balik aplikasi yang dapat diskalakan,understanding fundamental design principles behind a scalable application,memahami prinsip-prinsip desain dasar di balik aplikasi yang dapat diskalakan understanding fundamental design principles behind a scalable application
"user authentication and authorization between multiple systems, servers, and environments","otentikasi dan otorisasi pengguna antara beberapa sistem, server, dan lingkungan","user authentication and authorization between multiple systems, servers, and environments","otentikasi dan otorisasi pengguna antara beberapa sistem, server, dan lingkungan user authentication and authorization between multiple systems, servers, and environments"
integration of multiple data sources and databases into one system,integrasi berbagai sumber data dan database ke dalam satu sistem,integration of multiple data sources and databases into one system,integrasi berbagai sumber data dan database ke dalam satu sistem integration of multiple data sources and databases into one system
familiarity with limitations of php as a platform and its workarounds,keakraban dengan keterbatasan php sebagai platform dan solusinya,familiarity with limitations of php as a platform and its workarounds,keakraban dengan keterbatasan php sebagai platform dan solusinya familiarity with limitations of php as a platform and its workarounds
creating database schemas that represent and support business processes,membuat skema database yang mewakili dan mendukung proses bisnis,creating database schemas that represent and support business processes,membuat skema database yang mewakili dan mendukung proses bisnis creating database schemas that represent and support business processes
"strong knowledge of php, mysql, html, css, javascript, and ajax.","pengetahuan yang kuat tentang php, mysql, html, css, javascript, dan ajax.","strong knowledge of php, mysql, html, css, javascript, and ajax.","pengetahuan yang kuat tentang php, mysql, html, css, javascript, dan ajax. strong knowledge of php, mysql, html, css, javascript, and ajax."
understanding of restful apis and integration.,pemahaman tentang api tenang dan integrasi.,understanding of restful apis and integration.,pemahaman tentang api tenang dan integrasi. understanding of restful apis and integration.
"familiarity with version control systems (git, github, or bitbucket).","keakraban dengan sistem kontrol versi (git, github, atau bitbucket).","familiarity with version control systems (git, github, or bitbucket).","keakraban dengan sistem kontrol versi (git, github, atau bitbucket). familiarity with version control systems (git, github, or bitbucket)."
"knowledge of front-end technologies like react, vue.js, or angular (a plus).","pengetahuan tentang teknologi front-end seperti react, vue.js, atau angle (nilai tambah).","knowledge of front-end technologies like react, vue.js, or angular (a plus).","pengetahuan tentang teknologi front-end seperti react, vue.js, atau angle (nilai tambah). knowledge of front-end technologies like react, vue.js, or angular (a plus)."
"knowledge of docker, kubernetes, or ci/cd pipelines.","pengetahuan tentang docker, kubernetes, atau pipeline ci/cd.","knowledge of docker, kubernetes, or ci/cd pipelines.","pengetahuan tentang docker, kubernetes, atau pipeline ci/cd. knowledge of docker, kubernetes, or ci/cd pipelines."
leadership role,peran kepemimpinan,leadership role,peran kepemimpinan leadership role
php developer,pengembang php,php developer,pengembang php php developer
to work on new and existing projects with their growing team in bandung.,untuk mengerjakan proyek baru dan yang sudah ada dengan tim mereka yang sedang berkembang di bandung.,to work on new and existing projects with their growing team in bandung.,untuk mengerjakan proyek baru dan yang sudah ada dengan tim mereka yang sedang berkembang di bandung. to work on new and existing projects with their growing team in bandung.
"php developer is responsible for writing server-side web application logic, develop backend components, connect the application with the other (often third-party) web services, and support the frontend developers by integrating their work with the application.","Pengembang php bertanggung jawab untuk menulis logika aplikasi web sisi server, mengembangkan komponen backend, menghubungkan aplikasi dengan layanan web lain (seringkali pihak ketiga), dan mendukung pengembang frontend dengan mengintegrasikan pekerjaan mereka dengan aplikasi.","php developer is responsible for writing server-side web application logic, develop backend components, connect the application with the other (often third-party) web services, and support the frontend developers by integrating their work with the application.","Pengembang php bertanggung jawab untuk menulis logika aplikasi web sisi server, mengembangkan komponen backend, menghubungkan aplikasi dengan layanan web lain (seringkali pihak ketiga), dan mendukung pengembang frontend dengan mengintegrasikan pekerjaan mereka dengan aplikasi. php developer is responsible for writing server-side web application logic, develop backend components, connect the application with the other (often third-party) web services, and support the frontend developers by integrating their work with the application."
"strong knowledge of php web frameworks such as laravel, codeigniter, symfony","pengetahuan yang kuat tentang kerangka web php seperti laravel, codeigniter, symfony","strong knowledge of php web frameworks such as laravel, codeigniter, symfony","pengetahuan yang kuat tentang kerangka web php seperti laravel, codeigniter, symfony strong knowledge of php web frameworks such as laravel, codeigniter, symfony"
"knowledge of javascript frontend framework such as vue.js, react, angularjs is a plus","pengetahuan tentang kerangka frontend javascript seperti vue.js, react, anglejs merupakan nilai tambah","knowledge of javascript frontend framework such as vue.js, react, angularjs is a plus","pengetahuan tentang kerangka frontend javascript seperti vue.js, react, anglejs merupakan nilai tambah knowledge of javascript frontend framework such as vue.js, react, angularjs is a plus"
knowledge of the common php or web server exploits and their solutions is a plus,pengetahuan tentang eksploitasi umum php atau server web dan solusinya merupakan nilai tambah,knowledge of the common php or web server exploits and their solutions is a plus,pengetahuan tentang eksploitasi umum php atau server web dan solusinya merupakan nilai tambah knowledge of the common php or web server exploits and their solutions is a plus
integration of multiple data sources and databases into one system is a plus,integrasi berbagai sumber data dan database ke dalam satu sistem merupakan nilai tambah,integration of multiple data sources and databases into one system is a plus,integrasi berbagai sumber data dan database ke dalam satu sistem merupakan nilai tambah integration of multiple data sources and databases into one system is a plus
basic knowledge of search engine optimization (seo) is a plus,pengetahuan dasar tentang optimasi mesin pencari (seo) merupakan nilai tambah,basic knowledge of search engine optimization (seo) is a plus,pengetahuan dasar tentang optimasi mesin pencari (seo) merupakan nilai tambah basic knowledge of search engine optimization (seo) is a plus
knowledge of the linux environment is a plus,pengetahuan tentang lingkungan linux merupakan nilai tambah,knowledge of the linux environment is a plus,pengetahuan tentang lingkungan linux merupakan nilai tambah knowledge of the linux environment is a plus
mengelola tim network agar kolaboratif dan produktif,mengelola tim network agar kolaboratif dan produktif,managing network teams to be collaborative and productive,mengelola tim network agar kolaboratif dan produktif managing network teams to be collaborative and productive
mengembangkan strategi area dan pemasaran untuk mencapai target ekspansi,mengembangkan strategi area dan pemasaran untuk mencapai target ekspansi,develop area and marketing strategies to achieve expansion targets,mengembangkan strategi area dan pemasaran untuk mencapai target ekspansi develop area and marketing strategies to achieve expansion targets
"bertanggung jawab atas pelaksanaan event, promosi, atau tugas khusus di area","bertanggung jawab atas pelaksanaan event, promosi, atau tugas khusus di area","responsible for implementing events, promotions, or special tasks in the area","bertanggung jawab atas pelaksanaan event, promosi, atau tugas khusus di area responsible for implementing events, promotions, or special tasks in the area"
"menggunakan microsoft office (terutama excel) untuk pelaporan, analisis data, dan perencanaan strategi","menggunakan microsoft office (terutama excel) untuk pelaporan, analisis data, dan perencanaan strategi","use Microsoft Office (especially Excel) for reporting, data analysis, and strategic planning","menggunakan microsoft office (terutama excel) untuk pelaporan, analisis data, dan perencanaan strategi use Microsoft Office (especially Excel) for reporting, data analysis, and strategic planning"
job requirement:,persyaratan pekerjaan:,job requirement:,persyaratan pekerjaan: job requirement:
memiliki kemampuan leadership dan komunikasi yang baik,memiliki kemampuan leadership dan komunikasi yang baik,have good leadership and communication skills,memiliki kemampuan leadership dan komunikasi yang baik have good leadership and communication skills
mampu menganalisis data dan tren pasar lokal,mampu menganalisis data dan tren pasar lokal,able to analyze local market data and trends,mampu menganalisis data dan tren pasar lokal able to analyze local market data and trends
membimbing outlet dalam pencapaian target operasional dan distribusi,membimbing outlet dalam pencapaian target operasional dan distribusi,guiding outlets in achieving operational and distribution targets,membimbing outlet dalam pencapaian target operasional dan distribusi guiding outlets in achieving operational and distribution targets
menyampaikan informasi dan tujuan kegiatan dengan jelas ke tim dan outlet,menyampaikan informasi dan tujuan kegiatan dengan jelas ke tim dan outlet,convey information and activity objectives clearly to the team and outlets,menyampaikan informasi dan tujuan kegiatan dengan jelas ke tim dan outlet convey information and activity objectives clearly to the team and outlets
mengawasi alur distribusi dan efektivitas jaringan logistik di wilayah kerja,mengawasi alur distribusi dan efektivitas jaringan logistik di wilayah kerja,supervise the distribution flow and effectiveness of the logistics network in the work area,mengawasi alur distribusi dan efektivitas jaringan logistik di wilayah kerja supervise the distribution flow and effectiveness of the logistics network in the work area
memiliki kemampuan leadership,memiliki kemampuan leadership,have leadership abilities,memiliki kemampuan leadership have leadership abilities
berorientasi pada target & bersedia bekerja secara mobile,berorientasi pada target & bersedia bekerja secara mobile,Target oriented & willing to work mobile,berorientasi pada target & bersedia bekerja secara mobile Target oriented & willing to work mobile
memiliki komunikasi yang baik dan presentase yang kuat,memiliki komunikasi yang baik dan presentase yang kuat,Have good communication and strong presentation,memiliki komunikasi yang baik dan presentase yang kuat Have good communication and strong presentation
mampu bekerja dengan sistem deadline,mampu bekerja dengan sistem deadline,Able to work with a deadline system,mampu bekerja dengan sistem deadline Able to work with a deadline system
mampu bekerjasama secara tim/individu,mampu bekerjasama secara tim/individu,Able to work as a team/individual,mampu bekerjasama secara tim/individu Able to work as a team/individual
mengembangkan area untuk membuka jaringan network atau mencari mitra baru,mengembangkan area untuk membuka jaringan network atau mencari mitra baru,develop areas to open networks or look for new partners,mengembangkan area untuk membuka jaringan network atau mencari mitra baru develop areas to open networks or look for new partners
bisa menggunakan microsoft office (terutama excel),bisa menggunakan microsoft office (terutama excel),Able to use Microsoft Office (especially Excel),bisa menggunakan microsoft office (terutama excel) Able to use Microsoft Office (especially Excel)
menjaga stabilitas dan perkembangan di mitra,menjaga stabilitas dan perkembangan di mitra,maintain stability and development in partners,menjaga stabilitas dan perkembangan di mitra maintain stability and development in partners
bertanggung jawab dalam pengembangan dan ekspansi pasar untuk mencapai target yang telah ditetapkan.,bertanggung jawab dalam pengembangan dan ekspansi pasar untuk mencapai target yang telah ditetapkan.,Responsible for market development and expansion to achieve predetermined targets.,bertanggung jawab dalam pengembangan dan ekspansi pasar untuk mencapai target yang telah ditetapkan. Responsible for market development and expansion to achieve predetermined targets.
membangun dan menjaga hubungan yang baik dengan owner outlet serta melakukan analisis pasar.,membangun dan menjaga hubungan yang baik dengan owner outlet serta melakukan analisis pasar.,build and maintain good relationships with outlet owners and carry out market analysis.,membangun dan menjaga hubungan yang baik dengan owner outlet serta melakukan analisis pasar. build and maintain good relationships with outlet owners and carry out market analysis.
meningkatkan kualitas sla dengan melakukan monitoring outlet dan mengusulkan perbaikan berkelanjutan.,meningkatkan kualitas sla dengan melakukan monitoring outlet dan mengusulkan perbaikan berkelanjutan.,improve the quality of SLA by monitoring outlets and proposing continuous improvements.,meningkatkan kualitas sla dengan melakukan monitoring outlet dan mengusulkan perbaikan berkelanjutan. improve the quality of SLA by monitoring outlets and proposing continuous improvements.
mampu mengoperasikan microsoft excel secara mandiri.,mampu mengoperasikan microsoft excel secara mandiri.,Able to operate Microsoft Excel independently.,mampu mengoperasikan microsoft excel secara mandiri. Able to operate Microsoft Excel independently.
"memiliki kemampuan komunikasi yang baik, persuasif, dan terbiasa melakukan presentasi.","memiliki kemampuan komunikasi yang baik, persuasif, dan terbiasa melakukan presentasi.",Please try again later.That’s all we know.,"memiliki kemampuan komunikasi yang baik, persuasif, dan terbiasa melakukan presentasi. Please try again later.That’s all we know."
wajib memiliki laptop dan kendaraan pribadi.,wajib memiliki laptop dan kendaraan pribadi.,Must have a laptop and private vehicle.,wajib memiliki laptop dan kendaraan pribadi. Must have a laptop and private vehicle.
"support project planning, scheduling, and progress tracking for data center projects","mendukung perencanaan proyek, penjadwalan, dan pelacakan kemajuan untuk proyek pusat data","support project planning, scheduling, and progress tracking for data center projects","mendukung perencanaan proyek, penjadwalan, dan pelacakan kemajuan untuk proyek pusat data support project planning, scheduling, and progress tracking for data center projects"
"prepare and maintain project documentation, reports, and dashboards","menyiapkan dan memelihara dokumentasi proyek, laporan, dan dasbor","prepare and maintain project documentation, reports, and dashboards","menyiapkan dan memelihara dokumentasi proyek, laporan, dan dasbor prepare and maintain project documentation, reports, and dashboards"
"monitor project timelines, milestones, risks, and dependencies","memantau jadwal proyek, pencapaian, risiko, dan ketergantungan","monitor project timelines, milestones, risks, and dependencies","memantau jadwal proyek, pencapaian, risiko, dan ketergantungan monitor project timelines, milestones, risks, and dependencies"
"assist in coordinating meetings, project updates, and stakeholder communications","membantu dalam mengoordinasikan pertemuan, pembaruan proyek, dan komunikasi pemangku kepentingan","assist in coordinating meetings, project updates, and stakeholder communications","membantu dalam mengoordinasikan pertemuan, pembaruan proyek, dan komunikasi pemangku kepentingan assist in coordinating meetings, project updates, and stakeholder communications"
ensure project data is accurate and up to date in pmo tools or systems,memastikan data proyek akurat dan terkini dalam alat atau sistem pmo,ensure project data is accurate and up to date in pmo tools or systems,memastikan data proyek akurat dan terkini dalam alat atau sistem pmo ensure project data is accurate and up to date in pmo tools or systems
"proficient in microsoft office (excel, powerpoint, word);","mahir dalam microsoft office (excel, powerpoint, word);","proficient in microsoft office (excel, powerpoint, word);","mahir dalam microsoft office (excel, powerpoint, word); proficient in microsoft office (excel, powerpoint, word);"
strong organizational skills with attention to detail,keterampilan organisasi yang kuat dengan perhatian terhadap detail,strong organizational skills with attention to detail,keterampilan organisasi yang kuat dengan perhatian terhadap detail strong organizational skills with attention to detail
good communication skills and ability to work with cross-functional teams,keterampilan komunikasi yang baik dan kemampuan bekerja dengan tim lintas fungsi,good communication skills and ability to work with cross-functional teams,keterampilan komunikasi yang baik dan kemampuan bekerja dengan tim lintas fungsi good communication skills and ability to work with cross-functional teams
"ensure all projects comply with internal processes, budgets, and timelines.","memastikan semua proyek mematuhi proses internal, anggaran, dan jadwal.","ensure all projects comply with internal processes, budgets, and timelines.","memastikan semua proyek mematuhi proses internal, anggaran, dan jadwal. ensure all projects comply with internal processes, budgets, and timelines."
"serve as a central liaison between departments (e.g., r&d, operations, marketing, finance, it, supply chain) to align on project objectives and execution plans.","berfungsi sebagai penghubung utama antar departemen (misalnya, penelitian dan pengembangan, operasi, pemasaran, keuangan, TI, rantai pasokan) untuk menyelaraskan tujuan proyek dan rencana pelaksanaan.","serve as a central liaison between departments (e.g., r&d, operations, marketing, finance, it, supply chain) to align on project objectives and execution plans.","berfungsi sebagai penghubung utama antar departemen (misalnya, penelitian dan pengembangan, operasi, pemasaran, keuangan, TI, rantai pasokan) untuk menyelaraskan tujuan proyek dan rencana pelaksanaan. serve as a central liaison between departments (e.g., r&d, operations, marketing, finance, it, supply chain) to align on project objectives and execution plans."
monitor interdependencies across projects and proactively resolve resource conflicts or bottlenecks.,memantau saling ketergantungan di seluruh proyek dan secara proaktif menyelesaikan konflik atau kemacetan sumber daya.,monitor interdependencies across projects and proactively resolve resource conflicts or bottlenecks.,memantau saling ketergantungan di seluruh proyek dan secara proaktif menyelesaikan konflik atau kemacetan sumber daya. monitor interdependencies across projects and proactively resolve resource conflicts or bottlenecks.
"track progress, milestones, deliverables, and kpis of all active projects.","melacak kemajuan, pencapaian, hasil, dan kpi dari semua proyek yang aktif.","track progress, milestones, deliverables, and kpis of all active projects.","melacak kemajuan, pencapaian, hasil, dan kpi dari semua proyek yang aktif. track progress, milestones, deliverables, and kpis of all active projects."
prepare and present regular reports and dashboards for executives and stakeholders.,menyiapkan dan menyajikan laporan dan dasbor rutin untuk para eksekutif dan pemangku kepentingan.,prepare and present regular reports and dashboards for executives and stakeholders.,menyiapkan dan menyajikan laporan dan dasbor rutin untuk para eksekutif dan pemangku kepentingan. prepare and present regular reports and dashboards for executives and stakeholders.
"identify and escalate risks, delays, and deviations from scope or budget.","mengidentifikasi dan meningkatkan risiko, penundaan, dan penyimpangan dari ruang lingkup atau anggaran.","identify and escalate risks, delays, and deviations from scope or budget.","mengidentifikasi dan meningkatkan risiko, penundaan, dan penyimpangan dari ruang lingkup atau anggaran. identify and escalate risks, delays, and deviations from scope or budget."
assist department heads in estimating resource needs and allocating manpower effectively across initiatives.,membantu kepala departemen dalam memperkirakan kebutuhan sumber daya dan mengalokasikan tenaga kerja secara efektif di seluruh inisiatif.,assist department heads in estimating resource needs and allocating manpower effectively across initiatives.,membantu kepala departemen dalam memperkirakan kebutuhan sumber daya dan mengalokasikan tenaga kerja secara efektif di seluruh inisiatif. assist department heads in estimating resource needs and allocating manpower effectively across initiatives.
monitor team workloads and adjust project plans to optimize productivity.,memantau beban kerja tim dan menyesuaikan rencana proyek untuk mengoptimalkan produktivitas.,monitor team workloads and adjust project plans to optimize productivity.,memantau beban kerja tim dan menyesuaikan rencana proyek untuk mengoptimalkan produktivitas. monitor team workloads and adjust project plans to optimize productivity.
identify gaps or inefficiencies in project execution and propose process enhancements.,mengidentifikasi kesenjangan atau inefisiensi dalam pelaksanaan proyek dan mengusulkan peningkatan proses.,identify gaps or inefficiencies in project execution and propose process enhancements.,mengidentifikasi kesenjangan atau inefisiensi dalam pelaksanaan proyek dan mengusulkan peningkatan proses. identify gaps or inefficiencies in project execution and propose process enhancements.
"promote a culture of continuous learning by documenting best practices, lessons learned, and key success factors.","mempromosikan budaya pembelajaran berkelanjutan dengan mendokumentasikan praktik terbaik, pembelajaran, dan faktor kunci keberhasilan.","promote a culture of continuous learning by documenting best practices, lessons learned, and key success factors.","mempromosikan budaya pembelajaran berkelanjutan dengan mendokumentasikan praktik terbaik, pembelajaran, dan faktor kunci keberhasilan. promote a culture of continuous learning by documenting best practices, lessons learned, and key success factors."
lead post-implementation reviews to evaluate project outcomes and roi.,memimpin tinjauan pasca-implementasi untuk mengevaluasi hasil dan laba proyek.,lead post-implementation reviews to evaluate project outcomes and roi.,memimpin tinjauan pasca-implementasi untuk mengevaluasi hasil dan laba proyek. lead post-implementation reviews to evaluate project outcomes and roi.
"ensure stakeholder alignment through regular updates, feedback loops, and transparent communication.","memastikan keselarasan pemangku kepentingan melalui pembaruan rutin, putaran umpan balik, dan komunikasi yang transparan.","ensure stakeholder alignment through regular updates, feedback loops, and transparent communication.","memastikan keselarasan pemangku kepentingan melalui pembaruan rutin, putaran umpan balik, dan komunikasi yang transparan. ensure stakeholder alignment through regular updates, feedback loops, and transparent communication."
"pmp, prince2, or similar certification is a strong plus.","Pmp, Prince2, atau sertifikasi serupa merupakan nilai tambah yang kuat.","pmp, prince2, or similar certification is a strong plus.","Pmp, Prince2, atau sertifikasi serupa merupakan nilai tambah yang kuat. pmp, prince2, or similar certification is a strong plus."
"excellent organizational, analytical, and leadership abilities","kemampuan organisasi, analitis, dan kepemimpinan yang sangat baik","excellent organizational, analytical, and leadership abilities","kemampuan organisasi, analitis, dan kepemimpinan yang sangat baik excellent organizational, analytical, and leadership abilities"
detail-oriented with a strategic mindset,berorientasi pada detail dengan pola pikir strategis,detail-oriented with a strategic mindset,berorientasi pada detail dengan pola pikir strategis detail-oriented with a strategic mindset
"assist the head of creative strategy & implementation in managing tiktok video production by third-party vendors, coordinating pitching processes with vendors according to sops, supervising video production, and ensuring all tasks are completed within the specified timeline","membantu kepala strategi & implementasi kreatif dalam mengelola produksi video tiktok oleh vendor pihak ketiga, mengkoordinasikan proses pitching dengan vendor sesuai SOP, mengawasi produksi video, dan memastikan semua tugas selesai dalam timeline yang ditentukan","assist the head of creative strategy & implementation in managing tiktok video production by third-party vendors, coordinating pitching processes with vendors according to sops, supervising video production, and ensuring all tasks are completed within the specified timeline","membantu kepala strategi & implementasi kreatif dalam mengelola produksi video tiktok oleh vendor pihak ketiga, mengkoordinasikan proses pitching dengan vendor sesuai SOP, mengawasi produksi video, dan memastikan semua tugas selesai dalam timeline yang ditentukan assist the head of creative strategy & implementation in managing tiktok video production by third-party vendors, coordinating pitching processes with vendors according to sops, supervising video production, and ensuring all tasks are completed within the specified timeline"
familiar with video editing and production processes,akrab dengan pengeditan video dan proses produksi,familiar with video editing and production processes,akrab dengan pengeditan video dan proses produksi familiar with video editing and production processes
possesses strong writing skills,memiliki keterampilan menulis yang kuat,possesses strong writing skills,memiliki keterampilan menulis yang kuat possesses strong writing skills
lead end-to-end packaging development from concept → prototype → supplier development → mass production readiness.,memimpin pengembangan pengemasan ujung ke ujung mulai dari konsep → prototipe → pengembangan pemasok → kesiapan produksi massal.,lead end-to-end packaging development from concept → prototype → supplier development → mass production readiness.,memimpin pengembangan pengemasan ujung ke ujung mulai dari konsep → prototipe → pengembangan pemasok → kesiapan produksi massal. lead end-to-end packaging development from concept → prototype → supplier development → mass production readiness.
